slug,registry,company_number,company_name,relation,confidence,note
powerscourt-distillery,cro,587065,POWERSCOURT DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1105 (odd); reg 2016
slane-distillery,cro,468206,SLANE CASTLE IRISH WHISKEY LIMITED,operator,high,CRO open data: Normal; reg 2009. Brown-Forman
connacht-whiskey-company,cro,532495,THE CONNACHT WHISKEY COMPANY LIMITED,operator,high,CRO open data: Normal; reg 2013
glendalough-distillery,cro,493451,GLENDALOUGH IRISH WHISKEY LIMITED,operator,high,CRO open data: Normal; reg 2011
boann-distillery,cro,540129,BOANN DISTILLERY LIMITED,operator,high,CRO open data: Normal; reg 2014
ballykeefe-distillery,cro,563718,BALLYKEEFE DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2015
blackwater-distillery,cro,543070,BLACKWATER DISTILLERY LIMITED,operator,high,CRO open data: Normal; reg 2014
great-northern-distillery,cro,240181,GREAT NORTHERN DISTILLERY LIMITED,operator,high,CRO open data: Normal; reg 1995
tipperary-distillery,cro,549257,TIPPERARY BOUTIQUE DISTILLERY LIMITED,operator,high,CRO open data: Normal; reg 2014
j-j-corry-irish-whiskey,cro,567516,THE CHAPEL GATE IRISH WHISKEY COMPANY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2015. Bonder and blender, not a distiller
the-shed-distillery,cro,517350,P.J. RIGNEY DISTILLERY AND INTERNATIONAL BRANDS LIMITED,operator,high,CRO open data: Normal; reg 2012. Drumshanbo
fore-distillery,cro,720627,FORE DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2022
tullamaine-distillery,cro,621121,TULLAMAINE DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2018
rebel-city-distillery,cro,605220,REBEL CITY DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2017
burren-distillers,cro,527647,BURREN DISTILLERS LIMITED,operator,high,CRO open data: Normal; reg 2013
beara-distillery-ltd,cro,603421,BEARA DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2017
1601-distillery,cro,354071,1601 RED HUGH DISTILLERY LIMITED,operator,high,CRO open data: Normal; reg 2002
ahascragh-distillery,cro,630257,AHASCRAGH DISTILLERS LIMITED,operator,high,CRO open data: Normal; NACE 4618 (odd); reg 2018
dublin-liberties-distillery,cro,519122,THE DUBLIN LIBERTIES WHISKEY COMPANY LIMITED,operator,high,CRO open data: Normal; reg 2012. Quintessential Brands
lambay-whiskey,cro,597890,LAMBAY IRISH WHISKEY DESIGNATED ACTIVITY COMPANY,operator,high,CRO open data: Normal; NACE 1101; reg 2017. Camus JV
baoilleach-distillery,cro,644205,BAOILLEACH TEORANTA,operator,high,CRO open data: Normal; NACE 1101; reg 2019
dundalk-bay-brewery-distillery,cro,550243,DUNDALK BAY BREWERY AND DISTILLERY CO. LIMITED,operator,high,CRO open data: Normal; reg 2014
listoke-distillery,cro,575316,LISTOKE DISTILLERY LIMITED,operator,high,CRO open data: Normal; NACE 1101; reg 2016
skellig-six18-distillery,cro,589603,SKELLIG DISTILLERS LIMITED,operator,high,CRO open data: Normal; NACE 5629 (odd); reg 2016
portmagee,cro,596732,PORTMAGEE DISTILLING AND BREWING COMPANY LIMITED,operator,high,CRO open data: Normal; NACE 3299 (odd); reg 2017
old-carrick-mill-distillery,cro,551168,OLD CARRICK MILL LIMITED,operator,medium,CRO open data: Normal; reg 2014; name match only
garden-county-distillery,cro,648539,GARDEN COUNTY DISTILLERY LIMITED,operator,medium,CRO open data: Normal; NACE 5630 (bar); reg 2019
ballyvolane-house-spirits,cro,645884,BALLYVOLANE HOUSE LIMITED,operator,medium,CRO open data: Normal; NACE 5629; reg 2019. Bertha's Revenge gin; company is the house
crafted-spirits-distillery,cro,572896,CRAFTED SPIRITS LIMITED,operator,medium,CRO open data: Normal; NACE 7490; reg 2015
daly-s-distillery,cro,9144,J. J. DALY & COMPANY UNLIMITED COMPANY,operator,medium,CRO open data: Normal; reg 1936. Cork; name match, confirm it is the distillery
