slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
alembic-distillery,Alembic Distillery,Japan,nta-seizo-menkyo,5220001022974,株式会社Alembic,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年7月1日, office 金沢, site 金沢市大野町4丁目ハ17番; trading name '株式会社Alembic'"
distillery-japan-20,小正醸造嘉之助蒸溜所,Japan,nta-seizo-menkyo,2340001000062,小正醸造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h29 list: 酒類 ウイスキー 新規 43048, office 伊集院, site 日置市日吉町神之川845-3; trading name '小正醸造株式会社 嘉之助蒸溜所'"
distillery-japan-20,小正醸造嘉之助蒸溜所,Japan,nta-seizo-menkyo,2340001000062,小正醸造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h29 list: 酒類 ウイスキー 新規 43048, office 伊集院, site 日置市日吉町神之川845-3; trading name '小正醸造株式会社 嘉之助蒸溜所'"
distillery-japan-21,Satsuma Musou,Japan,nta-seizo-menkyo,7011501025528,株式会社 honeyboy&co.,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 リキュール 新規 令和4年3月11日, office 鹿児島, site 鹿児島市荒田二丁目40番17号; trading name '株式会社honeyboy&co.Satsuma Craft'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 試験免許 その他の醸造酒 新規 平成31年4月11日, office 知覧, site 枕崎市火之神北町388番地; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 酒類 スピリッツ 新規 令和元年8月26日, office 知覧, site 枕崎市火之神北町388; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r02 list: 酒類 その他の醸造酒 新規 令和2年10月7日, office 知覧, site 枕崎市火之神北町388; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r03 list: 試験免許 ウイスキー 新規 令和3年1月13日, office 知覧, site 枕崎市火之神北町388; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 試験免許 その他の醸造酒 新規 平成31年4月11日, office 知覧, site 枕崎市火之神北町388番地; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 酒類 スピリッツ 新規 令和元年8月26日, office 知覧, site 枕崎市火之神北町388; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r02 list: 酒類 その他の醸造酒 新規 令和2年10月7日, office 知覧, site 枕崎市火之神北町388; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-22,薩摩酒造火の神蒸溜所,Japan,nta-seizo-menkyo,6340001012590,薩摩酒造 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r03 list: 試験免許 ウイスキー 新規 令和3年1月13日, office 知覧, site 枕崎市火之神北町388; trading name '薩摩酒造株式会社 火の神蒸溜所'"
distillery-japan-24,紅櫻蒸溜所,Japan,nta-seizo-menkyo,5430001075258,北海道自由ウヰスキー株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h30 list: 酒類 スピリッツ 新規 平成30年4月23日, office 札幌南, site 札幌市南区澄川389番地6 建物1階及び2階; trading name '紅櫻蒸溜所'"
distillery-japan-24,紅櫻蒸溜所,Japan,nta-seizo-menkyo,5430001075258,北海道自由ウヰスキー株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 酒類 リキュール 新規 令和元年5月9日, office 札幌南, site 札幌市南区澄川389番地6; trading name '紅櫻蒸溜所'"
distillery-japan-31,月光川蒸留所,Japan,nta-seizo-menkyo,5390001016729,月光川蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r05 list: 酒類 ウイスキー 新規 令和5年9月25日, office 酒田, site 飽海郡遊佐町菅里字菅野37番地14; trading name ''"
distillery-japan-4,中井酒造株式会社,Japan,nta-seizo-menkyo,4190001031765,株式会社中井酒造,self,licence-name,low,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r07 list: 酒類 清酒 法人成り等 45748, office 上野, site 伊賀市上野西大手町3712番地1; trading name ''"
distillery-japan-5,沼津蒸留所,Japan,nta-seizo-menkyo,9080101021243,株式会社FLAVOUR,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r02 list: 酒類 スピリッツ 新規 令和2年9月29日, office 沼津, site 沼津市上土町8番地; trading name '株式会社FLAVOUR沼津蒸留所'"
fugaku-distillery-sasakawa-whisky-co-ltd,"Fugaku Distillery_SASAKAWA WHISKY CO.,LTD",Japan,nta-seizo-menkyo,4010401158845,SASAKAWA WHISKY株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r05 list: 酒類 ウイスキー 新規 令和5年11月2日, office 大月, site 富士吉田市上吉田4918番地1; trading name 'SASAKAWA WHISKY株式会社 富嶽蒸溜所'"
mitosaya-botanical-distillery,Mitosaya Botanical Distillery,Japan,nta-seizo-menkyo,5040001098232,mitosaya株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h30 list: 酒類 ブランデー 新規 平成30年11月15日, office 茂原, site 夷隅郡大多喜町大多喜486番地13; trading name 'mitosaya薬草園蒸留所'"
mitosaya-botanical-distillery,Mitosaya Botanical Distillery,Japan,nta-seizo-menkyo,5040001098232,mitosaya株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 ウイスキー 新規 令和4年1月21日, office 茂原, site 夷隅郡大多喜町大多喜486番地13; trading name 'mitosaya薬草園蒸留所'"
mitosaya-botanical-distillery,Mitosaya Botanical Distillery,Japan,nta-seizo-menkyo,5040001098232,mitosaya株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年1月21日, office 茂原, site 夷隅郡大多喜町大多喜486番地13; trading name 'mitosaya薬草園蒸留所'"
mitosaya-botanical-distillery,Mitosaya Botanical Distillery,Japan,nta-seizo-menkyo,5040001098232,mitosaya株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 リキュール 新規 令和4年1月21日, office 茂原, site 夷隅郡大多喜町大多喜486番地13; trading name 'mitosaya薬草園蒸留所'"
naturadistill,naturadistill 川内村蒸溜所,Japan,nta-seizo-menkyo,4380001033338,株式会社Kokage,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r06 list: 酒類 スピリッツ 新規 45583, office 相馬, site 双葉郡川内村大字上川内字町分396番地2; trading name 'naturadistill川内村蒸溜所'"
naturadistill,naturadistill 川内村蒸溜所,Japan,nta-seizo-menkyo,4380001033338,株式会社Kokage,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r06 list: 酒類 スピリッツ 新規 45583, office 相馬, site 双葉郡川内村大字上川内字町分396番地2; trading name 'naturadistill川内村蒸溜所'"
nozawa-onsen-distillery,Nozawa Onsen Distillery,Japan,nta-seizo-menkyo,9100001034061,Nozawa Onsen Distillery 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年6月30日, office 信濃中野, site 下高井郡野沢温泉村大字豊郷9394番地; trading name ''"
nozawa-onsen-distillery,Nozawa Onsen Distillery,Japan,nta-seizo-menkyo,9100001034061,Nozawa Onsen Distillery 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 ウイスキー 新規 令和4年12月1日, office 信濃中野, site 下高井郡野沢温泉村大字豊郷9394番地; trading name '野沢温泉蒸留所'"
nozawa-onsen-distillery,Nozawa Onsen Distillery,Japan,nta-seizo-menkyo,9100001034061,Nozawa Onsen Distillery株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r08 list: 酒類 リキュール 新規 46134, office 信濃中野, site 下高井郡野沢温泉村大字豊郷9288; trading name 'Gibier Kitchen and Bar寿命延'"
number-eight-distillery,NUMBER EIGHT DISTILLERY,Japan,nta-seizo-menkyo,7013201012145,株式会社HUGE,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 酒類 スピリッツ 新規 令和元年10月8日, office 横浜中, site 横浜市中区新港2丁目14番1号 横浜ハンマーヘッド2階; trading name 'NUMBER EIGHT DISTILLERY'"
number-eight-distillery,NUMBER EIGHT DISTILLERY,Japan,nta-seizo-menkyo,2130001054294,株式会社Number One Drinks,self,licence-name,low,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h28 list: 酒類 スピリッツ 新規 42590, office 下京, site 京都市南区吉祥院嶋野間詰町15番地; trading name ''"
number-eight-distillery,NUMBER EIGHT DISTILLERY,Japan,nta-seizo-menkyo,2130001054294,株式会社Number One Drinks,self,licence-name,low,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r01 list: 酒類 リキュール 新規 平成31年2月27日, office 下京, site 京都市南区吉祥院嶋野間詰町15番地; trading name ''"
sicx-gin-distillery-cafe-bar,SiCX Kyoto Distillery,Japan,nta-seizo-menkyo,2011001129338,株式会社FEC,self,licence-name,low,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年11月4日, office 東山, site 京都市東山区鞘町通七条上る下堀詰町234番地; trading name 'SiCX京都東山蒸留所'"
tankyu-distillery,丹丘蒸留所株式会社 Tankyu Distillery,Japan,nta-seizo-menkyo,4010001211946,丹丘蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r07 list: 酒類 ウイスキー 新規 45846, office 旭川東, site 上川郡東川町西2号北23番地; trading name ''"
tankyu-distillery,丹丘蒸留所株式会社 Tankyu Distillery,Japan,nta-seizo-menkyo,4010001211946,丹丘蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r07 list: 酒類 スピリッツ 新規 45846, office 旭川東, site 上川郡東川町西2号北23番地; trading name ''"
tankyu-distillery,丹丘蒸留所株式会社 Tankyu Distillery,Japan,nta-seizo-menkyo,4010001211946,丹丘蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r07 list: 酒類 リキュール 新規 45846, office 旭川東, site 上川郡東川町西2号北23番地; trading name ''"
tl-pearce-distillery,TL Pearce Distillery,Japan,nta-seizo-menkyo,6040001113262,TL Enterprises株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年6月17日, office 柏, site 野田市七光台181番地6; trading name 'TL Pearce Distillery'"
togari-onsen-distillery,Togari Onsen Distillery,Japan,nta-seizo-menkyo,5020001117349,きよかわ 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 ウイスキー 新規 令和4年5月1日, office 信濃中野, site 飯山市大字常郷163番地; trading name '戸狩温泉蒸溜所 Togari Onsen Distillery'"
togari-onsen-distillery,Togari Onsen Distillery,Japan,nta-seizo-menkyo,5020001117349,きよかわ 株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年5月1日, office 信濃中野, site 飯山市大字常郷163番地; trading name '戸狩温泉蒸溜所 Togari Onsen Distillery'"
