candidate_id,name,business_name,dba,full_premise_address,city,state,zip,permit_numbers,permit_count,classification,classification_reason,current_operating_status,operator_url,evidence_url,source_name,source_url,retrieval_date,exact_registry_reference,notes
ca-ttb-05c2eb387e7d,ROK Distillery,ROK DISTILLERY LLC,ROK Distillery,"260 SCOTTSVILLE BLVD, JACKSON, CA, 95642",JACKSON,CA,95642,CA-S-20134,1,production_site,"The facility is an active boutique craft distillery producing small-batch ultra-premium spirits, as confirmed by the operator's website and a verified active California ABC Distilled Spirits Manufacturer license.",open,https://rokitdrinks.com/,https://rokitdrinks.com/,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=14&COMPANY=Y&LICENSEE=ROK+DISTILLERY+LLC,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20134,"ROK Distillery LLC serves as the primary production site for ROKiT Drinks' spirits portfolio, holding active state licenses for both manufacturing and a still at the verified Jackson location. Official ABC exact-premise match: Type 04 file 00567588 (ROK DISTILLERY LLC / ROK DISTILLERY LLC); Type 06 file 00567588 (ROK DISTILLERY LLC / ROK DISTILLERY LLC)."
ca-ttb-0603b81df61c,Blue-09,GOOD FISHING LLC,Blue-09,"1930 AIRDOME ENTRY, ATWATER, CA, 95340",ATWATER,CA,95340,CA-S-20190,1,closed_or_unverifiable,"Good Fishing LLC's ABC licenses for distilling and craft production were withdrawn in 2018, and the permit address is now occupied by Blaker Brewing's taproom.",closed,,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=1930+AIRDROME+ENTRY&CITY=ATWATER,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20190,ABC licenses 584519 were withdrawn 2018-01-31; manager LinkedIn profile indicates the entity transitioned to an apparel brand which ceased operations in December 2023.
ca-ttb-0745610c6169,"CALICRAFT, LLC","CALICRAFT, LLC",,"1052 HORIZON DR STE A, FAIRFIELD, CA, 94533",FAIRFIELD,CA,94533,CA-S-20517,1,production_site,"Calicraft LLC holds active federal TTB permit CA-S-20517 and state ABC licenses for distilled spirits manufacturing (Type 06 and Type 74) at the Fairfield facility where it produces rum, gin, and whiskey.",open,https://www.calicraft.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?licenseNumber=663891,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20517,Calicraft acquired the Heretic Brewing and Distillery facility in August 2024; the site maintains active state and federal permits for spirits production and operates a public taproom.
ca-ttb-07f79a0505fe,TWG Woodbridge,THE WINE GROUP LLC,TWG Woodbridge,"5950 E WOODBRIDGE RD, ACAMPO, CA, 95220",ACAMPO,CA,95220,CA-S-20547,1,production_site,Active California ABC license 669167 includes Type 24 (Distilled Spirits Rectifier's General) and Type 06 (Still) at this large production facility acquired by The Wine Group from Constellation Brands in 2025.,open,https://www.thewinegroup.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=669167,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=669167,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20547,"Facility acquired by The Wine Group from Constellation Brands in 2025; while the public tasting room is closed, the production site remains active for wine and spirits rectifying/production. Official ABC exact-premise match: Type 02 file 00669167 (THE WINE GROUP LLC / TWG WOODBRIDGE); Type 06 file 00669167 (THE WINE GROUP LLC / TWG WOODBRIDGE); Type 24 file 00669167 (THE WINE GROUP LLC / TWG WOODBRIDGE); Type 09 file 00669167 (THE WINE GROUP LLC / TWG WOODBRIDGE); Type 12 file 00669167 (THE WINE GROUP LLC / TWG WOODBRIDGE)."
ca-ttb-080977987551,"Study Break Beverages, Lua Cocktails, BUJI Spirits, Reyes y Cobardes",JIVE BEVERAGES INC.,"Study Break Beverages, Lua Cocktails, BUJI Spirits, Reyes y Cobardes","14938 S FIGUEROA ST, GARDENA, CA, 90248",GARDENA,CA,90248,CA-S-20373,1,bottling_only,"Jive Beverages Inc. operates a Distilled Spirits Plant (CA-S-20373) and Bonded Winery (CA-W-25443) at 14938 S Figueroa St, but the facility primarily blends and bottles spirits-based cocktails and fermented seltzers without evidence of on-site distilling.",open,https://drinkstudybreak.com/,https://drinkstudybreak.com/pages/our-storyv9d,Study Break Beverages Official Website,https://drinkstudybreak.com/pages/our-storyv9d,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20373,"The facility produces Study Break Hard Seltzer using an orange wine base and bottles spirits-based cocktails like Lua and BUJI, which utilize imported Brazilian Cachaça and Japanese whisky respectively. Official ABC exact-premise match: Type 02 file 00623219 (JIVE BEVERAGES INC. / ); Type 07 file 00623219 (JIVE BEVERAGES INC. / )."
ca-ttb-08338a2c75a4,LOST SPIRITS,LOST SPIRITS DISTILLERY LLC,LOST SPIRITS,"1235 E 6TH ST, LOS ANGELES, CA, 90021",LOS ANGELES,CA,90021,CA-S-15126,1,closed_or_unverifiable,"California ABC licenses for Lost Spirits Distillery LLC at 1235 E 6th St were canceled or revoked by 2019, and the premises are currently listed for lease as a multi-use industrial space.",closed,https://www.lostspirits.net/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=14&COMPANY=Y&LICENSEE=LOST+SPIRITS+DISTILLERY+LLC,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-15126,All state-level distilled spirits manufacturing and craft distiller licenses for this address were canceled or revoked as of late 2018 and late 2019; the entity's subsequent Las Vegas operations also closed in 2024.
ca-ttb-08b50b37cd0a,BALLETTO VINEYARDS,"LAGUNA OAKS VINEYARDS & WINERY, INC.",BALLETTO VINEYARDS,"5700 OCCIDENTAL RD, SANTA ROSA, CA, 95401",SANTA ROSA,CA,95401,CA-S-15076,1,closed_or_unverifiable,"Site is an active winery (Type 02), but the California Distilled Spirits Manufacturer license (Type 04) was cancelled in 2015 and no spirits are marketed for sale.",unverifiable,https://www.ballettovineyards.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=379781,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=379781,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-15076,"Active winery with a still license (Type 06) likely for wine fortification, but commercial distilled spirits manufacturing license is cancelled and no spirits products are marketed. Official ABC exact-premise match: Type 06 file 00379781 (LAGUNA OAKS VINEYARDS & WINERY INC / BALLETTO VINEYARDS); Type 02 file 00379781 (LAGUNA OAKS VINEYARDS & WINERY INC / BALLETTO VINEYARDS); Type 02 file 00606495 (NOBLE FAMILY VINEYARDS LLC / RON NOBLE WINES); Type 02 file 00633535 (GORTHY-CHALLA VINEYARDS  LLC / GORTHY-CHALLA VINEYARDS  LLC); Type 02 file 00628914 (SAINI CHRISTIE WINES UNLIMITED LLC / SAINI VINEYARDS); Type 81 file 00379781 (LAGUNA OAKS VINEYARDS & WINERY INC / BALLETTO VINEYARDS)."
ca-ttb-092e6a76368c,LERAXA WINERY,E. & J. GALLO WINERY,LERAXA WINERY,"18000 RIVER RD, LIVINGSTON, CA, 95334",LIVINGSTON,CA,95334,CA-S-212,1,production_site,The facility holds active California ABC licenses for Distilled Spirits Manufacturer (Type 04) and Still (Type 06) alongside its TTB spirits permit (CA-S-212) at the 18000 River Rd production campus.,open,https://www.gallo.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=18000+RIVER+RD&CITY=LIVINGSTON,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-212,"Leraxa Winery is a DBA for E. & J. Gallo Winery's Livingston facility, which is a major production campus with multiple active distilling and winemaking licenses. Official ABC exact-premise match: Type 03 file 00023759 (E. & J. GALLO WINERY / ); Type 06 file 00023759 (E. & J. GALLO WINERY / ); Type 02 file 00023759 (E. & J. GALLO WINERY / ); Type 04 file 00023759 (E. & J. GALLO WINERY / ); Type 12 file 00023759 (E. & J. GALLO WINERY / ); Type 01 file 00023759 (E. & J. GALLO WINERY / ); Type 09 file 00023759 (E. & J. GALLO WINERY / )."
ca-ttb-093b2f467154,San Antonio Winery,"SAN ANTONIO WINERY, INC.",San Antonio Winery,"2017 WISTERIA LN, PASO ROBLES, CA, 93446",PASO ROBLES,CA,93446,CA-S-20518,1,closed_or_unverifiable,Site is a large-scale winemaking facility (Riboli Family Winemaking & Event Center) with a Type 02 Winegrower license; no evidence of on-site distilled spirits production or a California distillery license (Type 04/06/74) was found.,unverifiable,https://sanantoniowinery.com,https://sanantoniowinery.com/locations/riboli-family-winery/,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=565710,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20518,"The TTB DSP permit CA-S-20518 is active at this winemaking facility, but likely used for wine fortification or industrial purposes as primary spirit brands (e.g., Stella Rosa Brandy) are imported from Italy. Official ABC exact-premise match: Type 02 file 00565710 (SAN ANTONIO WINERY INC / SAN ANTONIO WINERY)."
ca-ttb-09467493a23c,E. & J. GALLO WINERY,E. & J. GALLO WINERY,,"5610 E OLIVE AVE, FRESNO, CA, 93727",FRESNO,CA,93727,CA-S-211,1,production_site,"The site holds active California ABC Type 04 (Distilled Spirits Manufacturer) and Type 06 (Still) licenses, and company records identify it as the Fresno Distillery responsible for producing the E&J Brandy portfolio.",open,https://www.gallo.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=5610+E+OLIVE+AVE&CITY=FRESNO,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-211,"This major industrial facility is a primary distillation and winemaking hub for Gallo, maintaining multiple active state licenses for distilled spirits manufacturing and still operations. Official ABC exact-premise match: Type 06 file 00057895 (E. & J. GALLO WINERY / ); Type 02 file 00057895 (E. & J. GALLO WINERY / ); Type 04 file 00057895 (E. & J. GALLO WINERY / ); Type 03 file 00057895 (E. & J. GALLO WINERY / ); Type 01 file 00057895 (E. & J. GALLO WINERY / ); Type 09 file 00057895 (E. & J. GALLO WINERY / ); Type 12 file 00057895 (E. & J. GALLO WINERY / )."
ca-ttb-09f7c3a8a463,BNS Brewing and Distilling Co,SANTEE SALOON LLC,BNS Brewing and Distilling Co,"10960 WHEATLANDS AVE STE 102, SANTEE, CA, 92071",SANTEE,CA,92071,CA-S-20142,1,production_site,"BNS Brewing and Distilling Co operates a physical production facility in Santee, CA, holding active California ABC licenses for a Still (Type 06) and Craft Distiller (Type 74) at the premise address.",open,https://www.bnsbrewinganddistillingco.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=15&DBANAME=BNS+BREWING,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/business-name/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20142,"The candidate operates a brewery and distillery at the same address, with active spirits production licenses (Type 06 and 74) and a small beer manufacturer license (Type 23)."
ca-ttb-0aa0332aad79,1848 Distillery,SAMUEL TERESI,1848 Distillery,"3073 NEWTOWN RD, PLACERVILLE, CA, 95667",PLACERVILLE,CA,95667,CA-S-20098,1,production_site,1848 Distillery holds an active California ABC Type 74 Craft Distiller license and is verified as a small-batch production facility and tasting room at the permitted address.,open,https://www.facebook.com/1848Distillery/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=15&DBANAME=1848+Distillery,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20098,The distillery operates at a shared location with a landscape material business and has consistently received local awards for its spirits production.
ca-ttb-0abbdf5fe342,ETUDE WINES,TREASURY WINE ESTATES AMERICAS COMPANY,ETUDE WINES,"1250 CUTTINGS WHARF RD, NAPA, CA, 94559",NAPA,CA,94559,CA-S-375,1,needs_review,"Official California ABC export has an exact-premise identity match, but the listed licence type does not independently establish spirits production.",unknown,,https://www.abc.ca.gov/licensing/licensing-reports/,California ABC Daily Data Export,https://www.abc.ca.gov/wp-content/uploads/DailyExport-CSV.zip,2026-08-22,"TTB Spirits Producers and Bottlers List: CA-S-375; California ABC Daily Data Export: 00399688 (02, 06)",Automated exact premise plus owner/DBA-token match in official ABC export: Type 02 file 00399688 (TREASURY WINE ESTATES AMERICAS COMPANY / ETUDE WINES); Type 06 file 00399688 (TREASURY WINE ESTATES AMERICAS COMPANY / ETUDE WINES).
ca-ttb-0abd429f0be8,P&W Spirits Co.,BRAWL LLC,P&W Spirits Co.,"369 3RD ST, OAKLAND, CA, 94607",OAKLAND,CA,94607,CA-S-20525,1,production_site,"P&W Spirits Co. (Brawl LLC) operates a craft distillery at 369 3rd St, Oakland, as evidenced by their website describing on-site distillation of Longman's Gin and a Peerspace listing for the production space.",open,https://www.pwspiritsco.com/,https://www.pwspiritsco.com/about,P&W Spirits Co. Website,https://www.pwspiritsco.com/about,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20525,"The facility is a craft distillery producing Longman's Gin; while Instagram mentions a fall 2026 reopening for the bar, the distillery remains active with Saturday tasting room hours and online sales. Official ABC exact-premise match: Type 06 file 00657560 (BRAWL LLC / BRAWL); Type 74 file 00657560 (BRAWL LLC / BRAWL)."
ca-ttb-0bbf0797f454,The Distillers Club,PUTNER LLC,The Distillers Club,"2400 KETTNER BLVD STE 110, SAN DIEGO, CA, 92101",SAN DIEGO,CA,92101,CA-S-20259,1,closed_or_unverifiable,"The distilling license (ABC Type 06/74) for Putner LLC at this address was cancelled, and the operator Kill Devil Spirit Co. is reported as permanently closed.",closed,https://www.quarantinespirits.com/home,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=2400+KETTNER+BLVD&CITY=SAN+DIEGO,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=2400+KETTNER+BLVD&CITY=SAN+DIEGO,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20259,"The location at 2400 Kettner Blvd Ste 110 is currently occupied by Little Italy's Loading Dock, an event venue/bar without an active distilling permit; distilling licenses were cancelled."
ca-ttb-0bcd5b5ff2aa,Burning Beard,PROMETHEAN BREWING CO. LLC,Burning Beard,"1835 N MARSHALL AVE, EL CAJON, CA, 92020",EL CAJON,CA,92020,CA-S-20589,1,closed_or_unverifiable,"Candidate Burning Beard Brewing is currently closed for relocation and buildout at its new HQ (1825 N Marshall Ave), with California ABC craft distiller (Type 74) and still (Type 06) licenses remaining in pending status as of August 2026.",closed,https://www.burningbeardbrewing.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=15&DBANAME=Burning+Beard,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20589,"Candidate relocated from 785 Vernon Way to 1825 N Marshall Ave in 2026; while a TTB spirits permit exists for the new site, ABC licenses (670661) are pending and the facility is not yet operational."
ca-ttb-0cfd79f9674c,DRIFT DISTILLERY,"DRIFT BRANDS, LLC",DRIFT DISTILLERY,"940 CALLE AMANECER STE K, SAN CLEMENTE, CA, 92673",SAN CLEMENTE,CA,92673,CA-S-20154,1,production_site,"The location holds active California ABC Type 06 (Still) and Type 74 (Craft Distiller) licenses, with a recently issued Type 94 shipping permit in June 2026 confirming its status as an active production and fulfillment site.",open,https://driftdistillery.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=602567,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=602567,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20154,"While the public restaurant and tasting room moved to 115 S El Camino Real, this original location remains an active production facility and shipping hub under a separate TTB permit and active state licenses."
ca-ttb-0d104805dcdf,WHISKEY KINGS LLC,WHISKEY KINGS LLC,,"3195 MCMILLIAN DR STE C, SAN LUIS OBISPO, CA, 93401",SAN LUIS OBISPO,CA,93401,CA-S-20166,1,closed_or_unverifiable,"Verification failed as no California ABC license or physical production evidence exists for Whiskey Kings LLC at the TTB-listed address, which is a multi-tenant commercial building.",unverifiable,,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=14&COMPANY=Y&LICENSEE=WHISKEY+KINGS+LLC,TTB Spirits Producers and Bottlers List,https://www.ttb.gov/public-information/foia/list-of-permittees,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20166,"The entity is linked to a Colorado residence in legal filings, and the San Luis Obispo address is a flex-office complex with no signs of distillery operations or active business registration."
ca-ttb-0d24897eb5a0,Berghold Vineyards,"BERGHOLD WINE SALES, INC",Berghold Vineyards,"17343 N CHERRY RD, LODI, CA, 95240",LODI,CA,95240,CA-S-20378,1,closed_or_unverifiable,"No evidence of distilled spirits production was found at this active estate winery, which holds a California Type 02 Winegrower license but lacks a Type 04 or 74 distilled spirits manufacturing license.",unverifiable,https://www.bergholdvineyards.com/,https://www.bergholdvineyards.com/about,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/licensee-name/?RPTTYPE=14&COMPANY=Y&LICENSEE=BERGHOLD,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20378,"The TTB DSP permit CA-S-20378 is registered to this winery address, likely for wine fortification purposes, as no spirits or brandy products are marketed by the operator. Official ABC exact-premise match: Type 02 file 00627822 (BERGHOLD WINE SALES  INC / BERGHOLD VINEYARDS); Type 81 file 00627822 (BERGHOLD WINE SALES  INC / BERGHOLD VINEYARDS)."
ca-ttb-0df3b39e8651,SUN-MAID GROWERS OF CALIFORNIA,SUN-MAID GROWERS OF CALIFORNIA,,"9818 S JACOBS AVE, ORANGE COVE, CA, 93646",ORANGE COVE,CA,93646,CA-S-230,1,production_site,"Sun-Maid operates an on-site distillery at its Orange Cove facility to produce high-proof alcohol and brandy from raisin by-products, as confirmed by company history and active distillery job postings.",open,https://www.sunmaid.com/,https://www.sunmaid.com/wp-content/uploads/2019/02/US-Edition_Ch1.pdf,Sun-Maid: Raisins & Dried Fruits (Company History),https://www.sunmaid.com/wp-content/uploads/2019/02/US-Edition_Ch1.pdf,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-230,The facility is primarily a fruit processing plant but maintains an active TTB spirits permit (CA-S-230) and a production distillery for utilizing fruit by-products. Official ABC exact-premise match: Type 06 file 00014279 (SUN MAID GROWERS OF CALIFORNIA / ); Type 04 file 00014279 (SUN MAID GROWERS OF CALIFORNIA / ).
